objectid,filename,youtubeid,title,creator,date,description,subject,location,identifier,type,format,language,rights,rightsstatement
coll001,Trophy.jpeg,,Trophy in Cheerdance,Trishia Mikaella P. Usa,2026,This is our trophy in Cheerdance.,Wallpaper,Surigao City,Trophy,image,image/jpeg,eng,Copyright,http://rightsstatements.org/vocab/NoC-US/1.0/
coll002,newyear.jpeg,,New Year,Trishia Mikaella P. Usa,2026,2026 New Year,Wallpaper,Surigao Del Sur,newyear,image,image/jpeg,eng,Copyright,http://rightsstatements.org/vocab/NoC-US/1.0/
coll004,2ndyear.jpeg,,2nd year,Trishia Mikaella P. Usa,2026,2nd Year,Wallpaper,Surigao City,2ndyear,image,image/jpeg,eng,Copyright,http://rightsstatements.org/vocab/NoC-US/1.0/
coll006,nightswimming.jpeg,,Night Swimming,Trishia Mikaella P. Usa,2026,Night Swimming after New Year Celebration,wallpaper,Surigao Del Sur,nightswimming,image,image/jpeg,eng,copyright,http://rightsstatements.org/vocab/NoC-US/1.0/
coll007,pathfit.jpeg,,Pathfit,Trishia Mikaella P. Usa,2026,Folk Dance in Pathfit 3,Wallpaper,Surigao City,pathfit,image,image/format,eng,Copyright,http://rightsstatements.org/vocab/NoC-US/1.0/
coll008,friends.mp4,,Friends,Trishia Mikaella P. Usa,2025,Overnight with my homies,Wallpaper,Pateros Metro Manila,friends,video,video/mp4,eng,Copyright,http://rightsstatements.org/vocab/NoC-US/1.0/




